%US Seg Data File
%Files:	07.31.39 hrs __[0001076].jpg	07.32.31 hrs __[0001077].jpg	07.32.35 hrs __[0001078].jpg	07.32.39 hrs __[0001079].jpg	07.32.43 hrs __[0001080].jpg	07.32.48 hrs __[0001081].jpg	07.32.51 hrs __[0001082].jpg	07.32.55 hrs __[0001083].jpg	07.32.59 hrs __[0001084].jpg	07.33.04 hrs __[0001085].jpg	07.33.13 hrs __[0001086].jpg	07.33.18 hrs __[0001087].jpg
%Slice(#)	x-pos(pix)	y-pos(pix)
8.52	540.1	150.3
8.53	546.5	147.6
8.54	552.8	140.3
8.55	561.0	134.0
8.56	568.2	127.7
8.57	573.6	120.4
9.01	201.4	148.5
9.02	208.7	162.1
9.03	215.0	168.4
9.04	225.9	174.7
9.05	235.8	179.3
9.06	245.8	180.2
9.07	254.8	183.8
9.08	264.8	182.9
9.09	273.0	179.3
9.10	281.1	177.5
9.11	287.4	172.9
9.12	293.8	167.5
9.13	299.2	165.7
9.14	309.2	162.1
9.15	316.4	162.1
9.16	323.7	163.9
9.17	335.4	171.1
9.18	340.0	178.4
9.19	343.6	184.7
9.20	350.8	192.9
9.21	361.7	199.2
9.22	369.0	199.2
9.23	378.0	199.2
9.24	383.4	199.2
9.25	391.6	199.2
9.26	397.0	199.2
9.27	406.1	199.2
9.28	416.0	201.0
9.29	429.6	198.3
9.30	438.7	197.4
9.31	445.0	194.7
9.32	453.2	194.7
9.33	463.1	192.9
9.34	474.9	190.1
9.35	480.3	187.4
9.36	487.6	186.5
9.37	501.2	181.1
9.38	509.3	179.3
9.39	513.9	176.6
9.40	522.0	164.8
9.41	531.1	158.4
9.42	541.9	151.2
9.43	553.7	141.2
9.44	558.2	137.6
10.01	228.6	93.2
10.02	235.8	105.9
10.03	244.9	113.2
10.04	253.9	124.0
10.05	263.0	131.3
10.06	270.2	137.6
10.07	280.2	147.6
10.08	291.1	150.3
10.09	303.7	152.1
10.10	314.6	155.7
10.11	322.8	160.3
10.12	328.2	164.8
10.13	338.2	171.1
10.14	351.7	180.2
10.15	359.9	185.6
10.16	369.9	192.0
10.17	384.3	194.7
10.18	395.2	194.7
10.19	408.8	193.8
10.20	418.8	191.0
10.21	423.3	189.2
10.22	427.8	189.2
10.23	438.7	191.0
10.24	449.6	192.0
10.25	460.4	192.0
10.26	468.6	190.1
10.27	476.7	190.1
10.28	488.5	187.4
10.29	498.5	184.7
10.30	507.5	181.1
10.31	515.7	175.7
10.32	522.0	174.7
11.01	195.1	85.1
11.02	202.3	94.1
11.03	210.5	100.5
11.04	217.7	105.9
11.05	228.6	110.4
11.06	235.8	115.0
11.07	243.1	121.3
11.08	254.8	124.0
11.09	263.0	134.9
11.10	267.5	145.8
11.11	273.0	153.9
11.12	280.2	160.3
11.13	290.2	156.6
11.14	301.0	152.1
11.15	313.7	151.2
11.16	321.0	163.9
11.17	330.9	172.9
11.18	343.6	181.1
11.19	358.1	190.1
11.20	372.6	192.9
11.21	384.3	194.7
11.22	398.8	194.7
11.23	411.5	194.7
11.24	422.4	193.8
11.25	434.2	192.9
11.26	447.7	191.0
11.27	461.3	190.1
11.28	475.8	190.1
11.29	485.8	190.1
11.30	495.7	186.5
11.31	501.2	180.2
12.01	189.6	87.8
12.02	205.9	86.9
12.03	224.0	86.9
12.04	241.3	95.0
12.05	249.4	104.1
12.06	261.2	115.9
12.07	279.3	135.8
12.08	287.4	140.3
12.09	300.1	143.0
12.10	311.0	143.0
12.11	317.3	140.3
12.12	327.3	142.1
12.13	341.8	142.1
12.14	349.0	142.1
12.15	357.2	140.3
12.16	362.6	135.8
12.17	373.5	134.0
12.18	380.7	133.1
12.19	385.3	125.8
12.20	386.2	120.4
12.21	397.0	112.3
12.22	403.4	105.9
12.23	417.0	100.5
12.24	426.9	100.5
12.25	435.1	96.9
12.26	444.1	93.2
12.27	456.8	86.0

